"","vocab_app","sort.freq_vocab..decreasing...TRUE.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","word_attribute_sorted"
"94","possible",83,0.00199313954868611,0.00056152749676601,0.000757117484680937,0.00177545453101406,0.00403623715351199,0.00056080988819139,0.000679217247202242,0.00139890061275581,0.00232461406511081,0.00132946738384867,0.000477746277662315,5
"95","contribute",82,0.00070186966012113,0.00327403640163309,0.000982488885189358,0.000471847060669292,0.00149931114473138,8.42635001980109e-05,0.00122552568739512,0.00191003194320219,0.00256669044441119,0.00155485858042669,2.78544314459772e-40,2
"96","become",81,0.00272872297588972,0.00136494135655468,0.000966401381519168,0.000322919397205006,2.50509802820744e-16,0.00186891314766317,0.000670653681196135,0.00199402079940639,0.00283095176218912,0.0018761697937032,0.0026887852306975,9
"97","goal",81,2.61311881739677e-13,0.00146550332924547,0.000943172746213706,0.000577497612139196,0.00880600961754397,2.91626820857978e-05,2.25557690501048e-15,0.000912011786812281,0.00102332652052481,0.000934539109184824,3.45416357945992e-31,5
"98","include",81,0.000870702442266907,0.000309355252781476,0.00344410504168648,0.00110707640296157,0.00194373278803844,0.00219944243831358,0.00109535190251578,0.00153958501512879,0.00173320970839033,0.00175898578787372,0.000851951199868671,3
"99","term",81,0.000330855553617645,0.000270254790591911,0.00154013173701055,0.00359124804142479,0.00360626283392911,0.000341458302081226,0.000860592220482898,0.00110618876512326,0.00188495469181198,0.00219773213216304,0.00325588249277505,5
"100","market",80,0.0017415667437826,4.77336515462287e-13,0.00571445947678064,0.00159661064557613,8.35966540491192e-13,0.00178519280807326,1.59610827115406e-29,8.52795195423356e-22,0.005624979103649,0.00558722483711616,0.000526385667089791,3
"101","emerge",79,0.00191199488586468,0.000936609067145313,5.49858897711666e-08,0.000772749294550389,0.00156416300185273,0.0047207189387446,3.7402861368764e-20,0.00338975185146713,6.79523487070339e-09,0.000305816036617356,0.000367047432275102,6
"102","offer",79,0.00247894020423005,0.00154646397740109,0.000839802255251117,1.69789044285593e-36,2.6310081342562e-07,0.00197185706914458,0.000252549835694763,0.00188239103744188,0.00347850293953675,0.000926316786085022,0.00108958191802836,9
"103","theory",79,2.46799195814504e-18,0.00239964544579439,0.000194548835029335,0.00376021095986457,0.00275999631672005,0.00179986134736808,8.97431242843139e-25,0.000332519739075514,0.00562025592143567,3.12350634000536e-07,6.47110142934594e-38,9
"104","good",78,0.00183976227189701,0.000725665726759772,0.00409146127326968,0.00307034039303098,0.00136369802438488,7.3754928432369e-28,0.000858900499580282,0.00101989910620045,3.76381600379559e-14,0.00312777572927644,0.00406202291657202,3
"105","key",78,0.000633601186916846,0.00140652350068926,0.000434040117811418,0.000879942460490812,0.00170498669461485,0.00306316284661459,0.00118338948563941,0.000662634958942818,0.00209440446768923,0.00066450568500542,1.00442361475462e-30,6
"106","many",78,0.0028539674328567,0.000491659176707137,0.00194802750126543,0.00176563221946063,0.000912526390975592,0.000752379996728183,0.00124411096002806,0.00548551603159689,0.000290326057505917,0.00423076782280896,0.00256180543443356,8
"107","support",78,0.000688896793219622,0.00145661608547828,0.00299580937470556,0.00122919615046199,0.00304463205301105,0.00235666011642036,0.00027796510284392,0.00135970119062688,5.97503133731639e-32,0.0014479165707073,0.00048687707642583,5
"108","order",77,0.00188768837126107,4.86058550212527e-14,3.88481954598042e-40,0.00167958755731281,0.00142463836392157,0.00187126946832223,0.0021059785568208,0.00200538561382141,0.00228084781371684,0.00192500017457548,0.0010190810357695,9
"109","paradigm",77,1.11268485280185e-06,0.00211284395304741,5.25267593207967e-38,7.72502737585281e-25,0.00547833960077544,0.00416565941626622,3.824950349746e-32,0.00127192621352898,0.00058785095006955,1.22768787434153e-26,1.49827999161578e-10,5
"110","country",76,0.0027302631491358,7.82024719173168e-35,0.00441763119933972,0.00144719044046276,0.00473937235448203,0.00201335204178789,0.00609555821972276,0.000499581659115316,6.77567021646235e-24,1.53759502610096e-16,1.68406521849842e-12,7
"111","impact",76,0.00157407673645156,7.08277171891787e-08,0.00131912871963497,0.000491006469132461,0.00774751134111035,9.25716550467688e-06,0.000399573609563252,0.00085178135893345,0.000103288428549904,0.00279364633394333,2.62577001539646e-21,5
"112","material",76,6.18548418960812e-81,0.00194769693354611,0.00431885264217871,0.00680382825029286,5.0845775125562e-11,2.05840566802892e-16,0.00341694512566157,0.0027162986143931,3.51313345941215e-08,0.000362715691840064,0.000385615021406982,4
"113","require",75,0.00194370000356851,5.76401100541698e-05,0.00249057037093114,0.00185724790425828,0.00164108829449477,0.000879651702708985,0.00436378136144706,0.00103427097283704,0.0012233500866958,0.00231490696492023,0.000512969889895459,7
"114","three",75,0.00199160026789137,0.00124695751453124,0.000292899251644104,5.58799684561476e-33,0.00200609767828917,0.0032993275365601,0.00109790031019423,0.00100908965024618,0.00140160019762873,2.38423143767424e-38,1.37813024046057e-06,6
"115","beyond",74,0.000918331912832062,0.00246884044669834,0.00143752012970424,0.00226073869015736,2.66355311805101e-06,0.00170605648664982,3.7865950205164e-45,5.75763008739788e-06,0.00199424905462546,0.00100966827997666,0.00300498922196127,11
"116","identify",73,0.00244597043745988,0.00272042944128188,0.000456581765947851,0.000253548692067192,0.00238732436534909,0.00241203558116094,1.2210749122879e-29,0.00106173714060971,1.19114791726701e-06,0.000327030375497604,6.02945382940465e-34,2
"117","project",73,2.75915624634178e-26,0.00163729783035639,0.000422899203384248,0.00127320707745148,0.000462084397510192,0.00308612320615406,0.00143303294611779,0.00318374430242236,0.00139965481244933,0.00265052009271734,0.00422040574359448,11
"118","relation",72,0.000150802993609171,0.00262599104694257,1.22683412772753e-20,0.00568536783566296,0.00126786882959195,6.28935883927909e-22,0.000726957323399106,2.32482235689252e-06,0.0028094181075504,1.15009070663056e-08,0.00182193161056402,4
"119","examine",71,0.0016966780568388,0.00158146459038723,0.000563493121480862,8.72748219832282e-14,0.00106004138709559,0.00328064001149166,0.000294867043316352,0.000248008927636184,0.00169713710653466,0.000927712024564351,0.000215334553255304,6
"120","part",71,0.00160425207964579,0.000430500598630391,0.00156103773653976,0.000905497476290242,8.96404921122117e-17,0.00193827843257106,0.00150989177296789,0.00111858617521446,0.00313520455686391,0.00307356251550975,0.000979213586738476,9
"121","people",71,0.00259598320511886,4.1933443154641e-07,0.00128620843361118,0.00328702392026021,0.000449352471848882,0.00105831741711384,0.00230932396829057,0.00302203960229594,0.000663114933383752,0.00699698862641508,0.0016606449095116,10
"122","principle",71,5.4419322617193e-05,0.0027466844482308,0.00145872408317841,0.00050291981558243,0.00128530620203727,0.00169563834119002,0.000320109438112503,0.00219683109323162,0.00135682637089296,0.000703432651460432,0.000166474300695252,2
"123","exist",70,0.000672908652053164,0.00287433230266576,0.000398002262737698,0.000308200916041188,0.000601250374065338,0.000714662070649455,0.00160110757527881,0.00376754035140481,0.000850043142444377,0.00238688885796473,0.000368031328615069,8
